Category,Author,Year,Title,URL
Data Science in General,"Jeffrey Stanton, ",2013,An Introduction to Data Science,https://docs.google.com/file/d/0B6iefdnF22XQeVZDSkxjZ0Z5VUE/edit?pli=1
Data Science in General,"School of Data, ",2015,School of Data Handbook,http://schoolofdata.org/handbook/
Data Science in General,"DJ Patil, ",2012,Data Jujitsu: The Art of Turning Data into Product,http://www.oreilly.com/data/free/data-jujitsu.csp
Interviews with Data Scientists,"Carl Shan, Henry Wang, William Chen, & Max Song, ",2015,The Data Science Handbook,http://www.thedatasciencehandbook.com/#get-the-book
Interviews with Data Scientists,"Brian Liou, Tristan Tao, & Declan Shener, ",2015,The Data Analytics Handbook,https://www.teamleada.com/handbook
Forming Data Science Teams,"Hilary Mason & DJ Patil, ",2015,Data Driven: Creating a Data Culture,http://www.oreilly.com/data/free/data-driven.csp
Forming Data Science Teams,DJ Patil,2011,Building Data Science Teams,http://www.oreilly.com/data/free/building-data-science-teams.csp
Forming Data Science Teams,"Julie Steele,",2015,Understanding the Chief Data Officer,http://www.oreilly.com/data/free/files/understanding-chief-data-officer.pdf
Data Analysis,Jeff Leek,2015,The Elements of Data Analytic Style,https://leanpub.com/datastyle
Distributed Computing Tools,"Tom White,",2011,Hadoop: The Definitive Guide,https://www.ida.liu.se/~TDDD43/themes/themeNOSQLlabs/2009-Hadoop.pdf
Distributed Computing Tools,"Jimmy Lin & Chris Dyer,",2010,Data-Intensive Text Processing with MapReduce,https://lintool.github.io/MapReduceAlgorithms/MapReduce-book-final.pdf
Python Language,"Allen Downey, ",2012,Think Python: How to Think Like a Computer Scientist,http://www.greenteapress.com/thinkpython/thinkpython.pdf
Python Language,Wikibooks,2015,Python Programming,https://en.wikibooks.org/wiki/Python_Programming
Python Language," Al Sweigart, ",2015,Automate the Boring Stuff with Python: Practical Programming for Total Beginners,https://automatetheboringstuff.com/
Python Language,"Zed A. Shaw,",2013,Learn Python the Hard Way,http://learnpythonthehardway.org/book/
R Language,"Roger D. Peng, ",2015,R Programming for Data Science,https://leanpub.com/rprogramming
R Language,"Wikibooks, ",2014,R Programming,https://en.wikibooks.org/wiki/R_Programming
R Language,"Hadley Wickham, ",2014,Advanced R,http://adv-r.had.co.nz/
SQL Language,"Zed. A. Shaw,",2010,Learn SQL The Hard Way,http://sql.learncodethehardway.org/book/
SQL Language,Tutorials Point,2015,SQL Tutorial,http://www.tutorialspoint.com/sql/sql_tutorial.pdf
Data Mining and Machine Learning,"Amnon Shashua, ",2008,Introduction to Machine Learning,http://arxiv.org/pdf/0904.3664.pdf
