From,To,Type,Label
Data Science in General,An Introduction to Data Science,,
An Introduction to Data Science,2013,,
Jeffrey Stanton,An Introduction to Data Science,,
An Introduction to Data Science,Introduction,,
An Introduction to Data Science,Data,,
An Introduction to Data Science,Science,,
Data Science in General,School of Data Handbook,,
School of Data Handbook,2015,,
School of Data,School of Data Handbook,,
School of Data Handbook,School,,
School of Data Handbook,Data,,
School of Data Handbook,Handbook,,
Data Science in General,Data Jujitsu: The Art of Turning Data into Product,,
Data Jujitsu: The Art of Turning Data into Product,2012,,
DJ Patil,Data Jujitsu: The Art of Turning Data into Product,,
Data Jujitsu: The Art of Turning Data into Product,Data,,
Data Jujitsu: The Art of Turning Data into Product,Jujitsu,,
Data Jujitsu: The Art of Turning Data into Product,Art,,
Data Jujitsu: The Art of Turning Data into Product,Turning,,
Data Jujitsu: The Art of Turning Data into Product,Data,,
Data Jujitsu: The Art of Turning Data into Product,Product,,
Interviews with Data Scientists,The Data Science Handbook,,
The Data Science Handbook,2015,,
Carl Shan,The Data Science Handbook,,
Henry Wang,The Data Science Handbook,,
William Chen,The Data Science Handbook,,
Max Song,The Data Science Handbook,,
The Data Science Handbook,Data,,
The Data Science Handbook,Science,,
The Data Science Handbook,Handbook,,
Interviews with Data Scientists,The Data Analytics Handbook,,
The Data Analytics Handbook,2015,,
Brian Liou,The Data Analytics Handbook,,
Tristan Tao,The Data Analytics Handbook,,
Declan Shener,The Data Analytics Handbook,,
The Data Analytics Handbook,Data,,
The Data Analytics Handbook,Analytics,,
The Data Analytics Handbook,Handbook,,
Forming Data Science Teams,Data Driven: Creating a Data Culture,,
Data Driven: Creating a Data Culture,2015,,
Hilary Mason,Data Driven: Creating a Data Culture,,
DJ Patil,Data Driven: Creating a Data Culture,,
Data Driven: Creating a Data Culture,Data,,
Data Driven: Creating a Data Culture,Driven,,
Data Driven: Creating a Data Culture,Creating,,
Data Driven: Creating a Data Culture,Data,,
Data Driven: Creating a Data Culture,Culture,,
Forming Data Science Teams,Building Data Science Teams,,
Building Data Science Teams,2011,,
DJ Patil,Building Data Science Teams,,
Building Data Science Teams,Building,,
Building Data Science Teams,Data,,
Building Data Science Teams,Science,,
Building Data Science Teams,Teams,,
Forming Data Science Teams,Understanding the Chief Data Officer,,
Understanding the Chief Data Officer,2015,,
Julie Steele,Understanding the Chief Data Officer,,
Understanding the Chief Data Officer,Understanding,,
Understanding the Chief Data Officer,Chief,,
