Label,Type,Description
Jeffrey Stanton,Author,
Introduction,Term,
Data,Term,
Science,Term,
Data Science in General,Category,
2013,Year,
An Introduction to Data Science,Title,
School of Data,Author,
School,Term,
Handbook,Term,
2015,Year,
School of Data Handbook,Title,
DJ Patil,Author,
Jujitsu,Term,
Art,Term,
Turning,Term,
Product,Term,
2012,Year,
Data Jujitsu: The Art of Turning Data into Product,Title,
Carl Shan,Author,
Henry Wang,Author,
William Chen,Author,
Max Song,Author,
Interviews with Data Scientists,Category,
The Data Science Handbook,Title,
Brian Liou,Author,
Tristan Tao,Author,
Declan Shener,Author,
Analytics,Term,
The Data Analytics Handbook,Title,
Hilary Mason,Author,
Driven,Term,
Creating,Term,
Culture,Term,
Forming Data Science Teams,Category,
Data Driven: Creating a Data Culture,Title,
Building,Term,
Teams,Term,
2011,Year,
Building Data Science Teams,Title,
Julie Steele,Author,
Understanding,Term,
Chief,Term,
Officer,Term,
Understanding the Chief Data Officer,Title,
Jeff Leek,Author,
Elements,Term,
Analytic,Term,
Style,Term,
Data Analysis,Category,
The Elements of Data Analytic Style,Title,
Tom White,Author,
Hadoop,Term,
Definitive,Term,
Guide,Term,
Distributed Computing Tools,Category,
Hadoop: The Definitive Guide,Title,
Jimmy Lin,Author,
Chris Dyer,Author,
Data-Intensive,Term,
Text,Term,
Processing,Term,
MapReduce,Term,
2010,Year,
Data-Intensive Text Processing with MapReduce,Title,
Allen Downey,Author,
Think,Term,
Python,Term,
How,Term,
Like,Term,
Computer,Term,
Scientist,Term,
Python Language,Category,
Think Python: How to Think Like a Computer Scientist,Title,
Wikibooks,Author,
Programming,Term,
Python Programming,Title,
Al Sweigart,Author,
Automate,Term,
Boring,Term,
Stuff,Term,
Practical,Term,
for,Term,
Total,Term,
Beginners,Term,
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Title,
Zed A. Shaw,Author,
Learn,Term,
Hard,Term,
Way,Term,
Learn Python the Hard Way,Title,
Roger D. Peng,Author,
R,Term,
R Language,Category,
R Programming for Data Science,Title,
2014,Year,
R Programming,Title,
Hadley Wickham,Author,
Advanced,Term,
Advanced R,Title,
Zed. A. Shaw,Author,
SQL,Term,
SQL Language,Category,
Learn SQL The Hard Way,Title,
Tutorials Point,Author,
Tutorial,Term,
SQL Tutorial,Title,
Amnon Shashua,Author,
Machine,Term,
Learning,Term,
Data Mining and Machine Learning,Category,
2008,Year,
Introduction to Machine Learning,Title,
Abdelhamid Mellouk,Author,
Abdennacer Chebira,Author,
2009,Year,
Machine Learning,Title,
Wikipedia,Author,
–,Term,
Complete,Term,
Machine Learning – The Complete Guide,Title,
Reza Zafarani,Author,
Mohammad Ali Abbasi,Author,
Huan Liu,Author,
Social,Term,
Media,Term,
Mining,Term,
Social Media Mining An Introduction,Title,
Ian H. Witten,Author,
Eibe Frank,Author,
Tools,Term,
Techniques,Term,
2005,Year,
Data Mining: Practical Machine Learning Tools and Techniques,Title,
Jure Leskovec,Author,
Anand Rajaraman,Author,
Jeff Ullman,Author,
Massive,Term,
Datasets,Term,
Mining of Massive Datasets,Title,
Ron Zacharski,Author,
Programmer’s,Term,
A Programmer’s Guide to Data Mining,Title,
Graham Williams,Author,
Rattle,Term,
Data Mining with Rattle and R,Title,
Mohammed J. Zaki,Author,
Wagner Meria Jr.,Author,
Analysis,Term,
Fundamental,Term,
Concepts,Term,
Algorithms,Term,
Data Mining and Analysis: Fundamental Concepts and Algorithms,Title,
Cam Davidson-Pilon,Author,
Probabilistic,Term,
&,Term,
Bayesian,Term,
Methods,Term,
Hackers,Term,
Probabilistic Programming & Bayesian Methods for Hackers,Title,
Michael J.A. Berry,Author,
Gordon S. Linoff,Author,
For,Term,
Marketing,Term,
Sales,Term,
Customer,Term,
Relationship,Term,
Management,Term,
2004,Year,
"Data Mining Techniques For Marketing, Sales, and Customer Relationship Management",Title,
Nada Lavrac,Author,
Saso Dzeroski,Author,
Inductive,Term,
Logic,Term,
Applications,Term,
1994,Year,
Inductive Logic Programming: Techniques and Applications,Title,
Christopher M. Bishop,Author,
Pattern,Term,
Recognition,Term,
2006,Year,
Pattern Recognition and Machine Learning,Title,
D. Michie,Author,
D.J. Spiegelhalter,Author,
C.C. Taylor,Author,
Neural,Term,
Statistical,Term,
Classification,Term,
1999,Year,
"Machine Learning, Neural and Statistical Classification",Title,
David J.C. MacKay,Author,
Information,Term,
Theory,Term,
Inference,Term,
"Information Theory, Inference, and Learning Algorithms",Title,
Johannes Ledolter,Author,
Business,Term,
Data Mining and Business Analytics with R,Title,
David Barber,Author,
Reasoning,Term,
Bayesian Reasoning and Machine Learning,Title,
C. E. Rasmussen,Author,
C. K. I. Williams,Author,
Gaussian,Term,
Processes,Term,
Gaussian Processes for Machine Learning,Title,
Richard S. Sutton,Author,
Andrew G. Barto,Author,
Reinforcement,Term,
Reinforcement Learning: An Introduction,Title,
Csaba Szepesvari,Author,
Algorithms for Reinforcement Learning,Title,
Jared Dean,Author,
Big,Term,
"Big Data, Data Mining, and Machine Learning",Title,
Ben Klemens,Author,
Modeling,Term,
With,Term,
Modeling With Data,Title,
Roberto Bello,Author,
KB,Term,
Sources,Term,
KB – Neural Data Mining with Python Sources,Title,
Yoshua Bengio,Author,
Ian J. Goodfellow,Author,
Aaron Courville,Author,
Deep,Term,
Deep Learning,Title,
Michael Nielsen,Author,
Networks,Term,
Neural Networks and Deep Learning,Title,
Data Mining Algorithms In R,Title,
Wagner Meira Jr.,Author,
Shigeaki Sakurai,Author,
Theory and Applications for Advanced Text Mining,Title,
Allen B. Downey,Author,
Stats,Term,
Exploratory,Term,
Statistics and Statistical Learning,Category,
Think Stats: Exploratory Data Analysis in Python,Title,
Bayes,Term,
Statistics,Term,
Made,Term,
Simple,Term,
Think Bayes: Bayesian Statistics Made Simple,Title,
Trevor Hastie,Author,
Robert Tibshirani,Author,
Jerome Friedman,Author,
Prediction,Term,
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",Title,
Gareth James,Author,
Daniela Witten,Author,
An Introduction to Statistical Learning with Applications in R,Title,
Gary W. Oehlert,Author,
First,Term,
Course,Term,
Design,Term,
Experiments,Term,
A First Course in Design and Analysis of Experiments,Title,
Malcolm Maclean,Author,
D3,Term,
Tips,Term,
Tricks,Term,
Data Visualization,Category,
D3 Tips and Tricks,Title,
Scott Murray,Author,
Interactive,Term,
Visualization,Term,
Web,Term,
Interactive Data Visualization for the Web,Title,
Jeffrey Needham,Author,
Disruptive,Term,
Possibilities,Term,
Changes,Term,
Everything,Term,
Big Data,Category,
Disruptive Possibilities: How Big Data Changes Everything ,Title,
Mike Barlow,Author,
Real-Time,Term,
Emerging,Term,
Architecture,Term,
Real-Time Big Data Analytics: Emerging Architecture,Title,
O'Reilly Media,Author,
Inc.,Author,
Now,Term,
2012,Term,
Edition,Term,
Big Data Now: 2012 Edition,Title,
Steven Bird,Author,
Natural,Term,
Language,Term,
Computer Science Topics,Category,
Natural Language Processing with Python,Title,
Richard Szeliski,Author,
Vision,Term,
Computer Vision,Title,
Reinhard Klette,Author,
Concise,Term,
Concise Computer Vision,Title,
Stuart Russell,Author,
Artificial,Term,
Intelligence,Term,
Modern,Term,
Approach,Term,
1st,Term,
1995,Year,
"Artificial Intelligence A Modern Approach, 1st Edition",Title,
